,Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Team,Season
117,12.0,Ji-hwan Oh*,30.0,30,113,99,16,22,3,2,3,11,6.0,1.0,7,28,0.222,0.28800000000000003,0.384,0.672,38,0,3,2,2,0.0,,LG Twins,2020
118,13.0,Seung-hyun Paek,25.0,13,18,15,3,6,1,0,0,2,0.0,0.0,1,2,0.4,0.43799999999999994,0.467,0.904,7,0,0,2,0,0.0,,LG Twins,2020
119,14.0,Jae-wook Park,24.0,4,7,6,0,1,0,0,0,1,0.0,0.0,0,1,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.452,1,0,1,0,0,0.0,,LG Twins,2020
120,15.0,Yong-taik Park*,41.0,29,101,92,12,26,7,0,0,17,1.0,0.0,7,16,0.28300000000000003,0.327,0.359,0.685,33,4,0,0,2,0.0,,LG Twins,2020
121,16.0,Roberto Ramos*,25.0,30,121,104,19,39,5,0,12,27,0.0,0.0,14,24,0.375,0.446,0.769,1.216,80,0,1,0,2,1.0,,LG Twins,2020
122,17.0,Min-jae Shin#,24.0,2,0,0,2,0,0,0,0,0,0.0,0.0,0,0,,,,,0,0,0,0,0,0.0,,LG Twins,2020
123,18.0,Kang-Nam Yoo,27.0,29,99,89,12,25,5,0,4,21,1.0,1.0,6,20,0.281,0.34299999999999997,0.47200000000000003,0.815,42,2,3,0,1,1.0,,LG Twins,2020
124,,18 Players,30.8,30,1172,1040,177,302,57,6,33,169,22.0,8.0,99,192,0.29,0.35600000000000004,0.452,0.8079999999999999,470,24,13,8,12,4.0,,LG Twins,2020
125,1.0,Chi-hong Ahn,29.0,30,128,116,13,30,8,0,2,15,7.0,2.0,9,15,0.259,0.315,0.379,0.6940000000000001,44,3,1,1,1,0.0,,Lotte Giants,2020
126,2.0,Jae-hyun Choo*,21.0,13,28,24,3,3,0,0,0,0,0.0,0.0,4,8,0.125,0.25,0.125,0.375,3,0,0,0,0,0.0,,Lotte Giants,2020
127,3.0,Hoon Chung,32.0,8,36,30,7,11,2,0,1,7,1.0,0.0,4,8,0.36700000000000005,0.444,0.5329999999999999,0.978,16,0,1,0,1,0.0,,Lotte Giants,2020
128,4.0,Dong-hui Han,21.0,28,102,95,5,22,6,0,1,6,0.0,1.0,4,22,0.23199999999999998,0.275,0.326,0.601,31,2,2,0,1,0.0,,Lotte Giants,2020
129,5.0,Il Heo*,27.0,16,39,34,2,6,1,0,1,2,0.0,0.0,3,12,0.17600000000000002,0.263,0.294,0.557,10,2,1,1,0,0.0,,Lotte Giants,2020
130,6.0,Jun-woo Jeon,34.0,29,127,118,18,33,11,0,4,11,1.0,1.0,9,22,0.28,0.331,0.475,0.805,56,3,0,0,0,0.0,,Lotte Giants,2020
131,7.0,Bo-geun Jung,20.0,25,57,52,2,7,0,0,0,3,0.0,0.0,3,13,0.135,0.179,0.135,0.313,7,3,0,1,1,0.0,,Lotte Giants,2020
132,8.0,Lo-han Kang*,28.0,11,16,13,4,3,0,0,0,1,1.0,0.0,2,4,0.231,0.375,0.231,0.606,3,0,1,0,0,0.0,,Lotte Giants,2020
133,9.0,Dong-Han Kim,32.0,17,18,18,3,4,1,0,0,3,2.0,0.0,0,1,0.222,0.222,0.278,0.5,5,0,0,0,0,0.0,,Lotte Giants,2020
134,10.0,Jae-yoo Kim*,27.0,1,3,3,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Lotte Giants,2020
135,11.0,Joon-Tae Kim*,25.0,24,55,49,4,10,1,1,1,6,0.0,0.0,6,13,0.204,0.29100000000000004,0.327,0.617,16,0,0,0,0,0.0,,Lotte Giants,2020
136,12.0,Dae-ho Lee,38.0,30,127,108,13,36,7,0,4,23,0.0,0.0,16,12,0.33299999999999996,0.41700000000000004,0.509,0.927,55,2,1,0,2,1.0,,Lotte Giants,2020
137,13.0,Dixon Machado,28.0,30,117,105,9,23,5,0,4,20,2.0,0.0,7,21,0.21899999999999997,0.276,0.381,0.657,40,3,2,1,2,0.0,,Lotte Giants,2020
138,14.0,Byeong-heon Min,33.0,26,111,101,13,25,6,0,2,6,3.0,1.0,7,22,0.248,0.315,0.366,0.682,37,4,3,0,0,0.0,,Lotte Giants,2020
139,15.0,Yoon-seok Oh,28.0,6,22,20,4,9,2,0,0,3,0.0,0.0,2,4,0.45,0.5,0.55,1.05,11,0,0,0,0,0.0,,Lotte Giants,2020
